Codigo.PA,Saturaca.bases.ou.aluminio,Carater.Aluminico.Alitico,Atividade.argila,Horiz.diag.superficial,Horiz.diag.subsuperficial,Grup.classe.textural.superficial,Grup.classe.textural.subsuperficial,Classe.drenagem,Presenca.Concrecoes,Presenca.Contato.Litico,Presenca.Contato.litico.fragmentario,Presenca.Nodulos,Presenca.Petroplintita,Ocorrencia.Plintita,Codigo.Horizonte,Simbolo.Horizonte,Profundidade.Superior,Profundidade.Inferior,Classe.de.Textura,Cor.umida.nome,Cor.umida.Matiz,Cor.umida.Valor,Cor.umida.Croma,Cor.Seca.Nome,Cor.Seca.Matiz,Cor.Seca.Valor,Cor.Seca.Croma,Estrutura.Grau.de.Desenvolvimento.1.Ocorrencia,Estrutura.Grau.de.Desenvolvimento.2.Ocorrencia,Estrutura.Grau.de.Desenvolvimento.3.Ocorrencia,Estrutura.Tamanho.1.Ocorrencia,Estrutura.Tamanho.2.Ocorrencia,Estrutura.Tamanho.3.Ocorrencia,Estrutura.Forma.1.Ocorrencia,Estrutura.Forma.2.Ocorrencia,Estrutura.Forma.3.Ocorrencia,Consistencia.Seca,Consistencia.umida,Consistencia.Molhada.Plasticidade,Consistencia.Molhada.Pegajosidade,Cerosidade.Grau.de.desenvolvimento,Cerosidade.Quantidade,Superficie.de.compressao.desenvolvimento,Superficie.de.compressao.Quantidade,Superficie.de.friccao.Grau.de.desenvolvimento,Superficie.de.friccao.Quantidade,Transicao.horizonte.subjacente.Topografia,Transicao.horizonte.subjacente.Nitidez,Variegado.Nomenclatura,Variegado.Matiz,Variegado.Valor,Variegado.Croma,Mosqueado.Nome,Mosqueado.Quantidade,Mosqueado.Contraste,Mosqueado.Tamanho,Mosqueado.Matiz,Mosqueado.Valor,Mosqueado.Croma,Fracoes.amostra.total.Calhaus,Fracoes.amostra.total.Cascalho,Fracoes.amostra.total.Terra.Fina,Composicao.terrafina.Areia.Grossa,Composicao.terrafina.Areia.Fina,Composicao.terrafina.Areia.Total,Composicao.terrafina.Silte,Composicao.terrafina.Argila,Composicao.terrafina.Relacao.Silte.Argila,Composicao.terrafina.Argila.Dispersa.em.agua,Densidade.Particulas,Densidade.solo,Grau.de.Floculacao,pH.H2O,pH.KCl,Complexo.Sortivo.Calcio,Complexo.Sortivo.Magnesio,Complexo.Sortivo.Ca.Mg,Complexo.Sortivo.Potassio,Complexo.Sortivo.Sodio,Complexo.Sortivo.ValorS,Complexo.Sortivo.Hidrogenio,Complexo.Sortivo.AluminioTrocavel,Complexo.Sortivo.ValorT,Complexo.Sortivo.ValorVDelta.Sat.Bases,Complexo.Sortivo.Sat.Aluminio,Ataque.sulfurico.SiO2,Ataque.sulfurico.Al2O3,Ataque.sulfurico.Fe2O3,Ataque.sulfurico.TiO2,Ataque.sulfurico.MnO,Ataque.sulfurico.SiO2.Al2O3,Ataque.sulfurico.SiO2.R2O3,Ataque.sulfurico.Al2O3.Fe2O3,Carbono.organico,Nitrogenio.total,Saturacao.Sodio,Condutividade.Eletrica,Classificacao.Nivel.1,Classificacao.Nivel.2,Classificacao.Nivel.3,Ocorrencia-1-Nivel4
9992,Álico,?,?,A Moderado,?,Muito argilosa,?,Bem drenado,?,?,?,?,?,?,31928,A,0,13,Argila,Cinzento-oliváceo-claro,10YR,4,4,?,?,?,?,Fraca,Forte,?,Pequena,Pequena,?,Blocos subangulares,Granular,?,Macia,?,Ligeiramente plástica,Ligeiramente pegajosa,?,?,?,?,?,?,Plana,Gradual,?,?,?,?,?,?,?,?,?,?,?,0,0,1000,65,155,220,47,733,0.06,408,2.67,1.08,44,4.3,4.1,?,?,0.2,0.03,0.01,0.2,4.8,1.1,6.1,3,85,125,240,77,15.4,?,0.89,0.74,4.89,12,1.1,< 1,?,LATOSSOLO,LATOSSOLO AMARELO,LATOSSOLO AMARELO Distrófico,LATOSSOLO AMARELO Distrófico Típico
10371,?,?,?,A Moderado,?,Média,?,Bem drenado,?,?,?,?,?,?,33757,B23,130,160,Franco-argilosa,?,2.5YR,4,6,?,?,?,?,?,Fraca,?,?,Pequena,?,Maciça que se desfaz,Blocos subangulares,?,Dura,Firme,Plástica,Pegajosa,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,1000,410,20,430,240,330,0.73,10,?,?,97,4.6,3.9,0.17,0.23,0.4,0.11,0.03,0.5,1.12,3,4.62,11,86,127.3,79.1,57.6,?,?,2.74,1.87,2.16,1.2,0.4,< 1,?,ARGISSOLO,ARGISSOLO VERMELHO,ARGISSOLO VERMELHO Eutrófico,ARGISSOLO VERMELHO Eutrófico Típico
10371,?,?,?,A Moderado,?,Média,?,Bem drenado,?,?,?,?,?,?,33756,B22,100,130,Franco-argilosa,?,2.5YR,4,6,?,?,?,?,?,Fraca,?,?,Pequena,?,Maciça que se desfaz,Blocos subangulares,?,Dura,Firme,Plástica,Pegajosa,?,?,?,?,?,?,?,Difusa,?,?,?,?,?,?,?,?,?,?,?,0,0,1000,430,20,450,250,300,0.83,10,?,?,97,4.7,3.9,0.07,0.23,0.3,0.08,0.03,0.4,1.25,3.2,4.85,8,89,146.6,86.7,57.6,?,?,2.87,2.02,2.36,1.7,0.4,< 1,?,ARGISSOLO,ARGISSOLO VERMELHO,ARGISSOLO VERMELHO Eutrófico,ARGISSOLO VERMELHO Eutrófico Típico
10371,?,?,?,A Moderado,?,Média,?,Bem drenado,?,?,?,?,?,?,33755,B21,60,100,Franco-argilo-arenosa,?,2.5YR,4,6,?,?,?,?,?,Fraca,?,?,Pequena,?,Maciça que se desfaz,Blocos subangulares,?,Dura,Friável,Plástica,Pegajosa,?,?,?,?,?,?,?,Difusa,?,?,?,?,?,?,?,?,?,?,?,0,0,1000,450,10,460,220,320,0.69,0,?,?,100,4.7,3.8,0.23,0.29,0.52,0.16,0.03,0.7,1.56,2.4,4.66,15,77,127.3,66.3,55.6,?,?,3.26,2.13,1.87,2.1,0.4,< 1,?,ARGISSOLO,ARGISSOLO VERMELHO,ARGISSOLO VERMELHO Eutrófico,ARGISSOLO VERMELHO Eutrófico Típico
10371,?,?,?,A Moderado,?,Média,?,Bem drenado,?,?,?,?,?,?,33753,B1,30,60,Franco-arenosa,Vermelho-acinzentado,5YR,5,4,?,?,?,?,?,Fraca,Fraca,?,Pequena,Muito pequena,Maciça que se desfaz,Blocos subangulares,Blocos subangulares,Ligeiramente dura,Friável,Ligeiramente plástica,Ligeiramente pegajosa,?,?,?,?,?,?,?,Gradual,?,?,?,?,?,?,?,?,?,?,?,0,0,1000,550,20,570,250,180,1.39,150,?,?,17,5.7,4.4,0.61,0.28,0.89,0.58,0.03,1.5,1.15,0,2.65,57,0,76.6,25.5,31.8,?,?,5.11,2.84,1.26,1.6,0.3,1,?,ARGISSOLO,ARGISSOLO VERMELHO,ARGISSOLO VERMELHO Eutrófico,ARGISSOLO VERMELHO Eutrófico Típico
10371,?,?,?,A Moderado,?,Média,?,Bem drenado,?,?,?,?,?,?,33752,A3,10,30,Franco-arenosa,Cinzento-esverdeado-claro,7.5YR,4,4,?,?,?,?,?,Fraca,?,?,Pequena,?,Maciça que se desfaz,Granular,?,Macia,Muito friável,Não-plástica,Não pegajosa,?,?,?,?,?,?,?,Gradual,?,?,?,?,?,?,?,?,?,?,?,0,0,1000,590,30,620,260,120,2.17,50,?,?,58,5.9,5,1.73,0.32,2.05,0.09,0.03,2.2,0.82,0,3.02,73,0,52.5,15.3,21.8,?,?,5.83,3.06,1.1,2.5,0.4,< 1,?,ARGISSOLO,ARGISSOLO VERMELHO,ARGISSOLO VERMELHO Eutrófico,ARGISSOLO VERMELHO Eutrófico Típico
10371,?,?,?,A Moderado,?,Média,?,Bem drenado,?,?,?,?,?,?,33751,A1,0,10,Franco-arenosa,Cinzento-esverdeado,10YR,3,3,?,?,?,?,?,Fraca,Fraca,?,Muito pequena a pequena,?,Maciça que se desfaz,Granular,Grãos simples,Solta,Muito friável,Não-plástica,Não pegajosa,?,?,?,?,?,?,?,Clara,?,?,?,?,?,?,?,?,?,?,?,0,0,1000,620,30,650,300,50,6,20,?,?,60,5.7,5,4,0.76,4.76,0.13,0.03,4.9,1.32,0,6.22,79,0,35.6,5.1,29.8,?,?,11.87,2.51,0.27,10.9,1.4,< 1,?,ARGISSOLO,ARGISSOLO VERMELHO,ARGISSOLO VERMELHO Eutrófico,ARGISSOLO VERMELHO Eutrófico Típico
11795,Eutrófico,?,?,A Moderado,?,Média,?,Bem drenado,?,?,?,?,?,?,38791,R,135,135,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,ARGISSOLO,ARGISSOLO VERMELHO,ARGISSOLO VERMELHO Eutrófico,ARGISSOLO VERMELHO Eutrófico Típico
11795,Eutrófico,?,?,A Moderado,?,Média,?,Bem drenado,?,?,?,?,?,?,38663,BC,110,135,Franco-argilo-arenosa,?,2.5YR,4,6,?,?,?,?,Moderada,Moderada,Moderada,Pequena,Media,Pequena a media,Blocos angulares,Blocos angulares,Blocos subangulares,Dura,Friável,Ligeiramente plástica,Ligeiramente pegajosa,?,?,?,?,?,?,Plana,Clara,?,?,?,?,?,?,?,?,?,?,?,0,27,973,153,336,489,165,346,0.48,0,2.6,1.77,100,5.5,4.4,0.8,2.6,3.4,0.04,0.17,3.6,0.6,0.1,4.3,84,3,134,128,37,6.7,?,1.78,1.5,5.43,1.4,0.4,4,?,ARGISSOLO,ARGISSOLO VERMELHO,ARGISSOLO VERMELHO Eutrófico,ARGISSOLO VERMELHO Eutrófico Típico
11795,Eutrófico,?,?,A Moderado,?,Média,?,Bem drenado,?,?,?,?,?,?,38662,Bt2,50,110,Franco-argilosa,?,2.5YR,3,6,?,?,?,?,Moderada,Moderada,Moderada,Pequena,Media,Pequena a media,Blocos angulares,Blocos angulares,Blocos subangulares,Dura,Friável,Ligeiramente plástica,Ligeiramente pegajosa,?,?,?,?,?,?,Plana,Clara,?,?,?,?,?,?,?,?,?,?,?,0,28,972,151,271,422,191,387,0.49,0,2.7,1.45,100,6.1,4.8,1.7,1.9,3.6,0.05,0.12,3.8,1.2,0,5,76,0,136,132,37,6.7,?,1.75,1.49,5.6,2,0.5,2,?,ARGISSOLO,ARGISSOLO VERMELHO,ARGISSOLO VERMELHO Eutrófico,ARGISSOLO VERMELHO Eutrófico Típico
11795,Eutrófico,?,?,A Moderado,?,Média,?,Bem drenado,?,?,?,?,?,?,38661,Bt1,20,50,Franco-argilo-arenosa,?,2.5YR,3,6,?,?,?,?,Moderada,?,?,Pequena,Media,?,Blocos angulares,Blocos subangulares,?,Ligeiramente dura,Friável,Ligeiramente plástica,Ligeiramente pegajosa,?,?,?,?,?,?,Plana,Gradual,?,?,?,?,?,?,?,?,?,?,?,0,30,970,164,311,475,180,345,0.52,0,2.6,1.6,100,5.4,4.4,1.7,1.2,2.9,0.1,0.07,3.1,0.9,0.1,4.1,76,3,134,130,35,6.1,?,1.75,1.5,5.83,2.3,0.5,2,?,ARGISSOLO,ARGISSOLO VERMELHO,ARGISSOLO VERMELHO Eutrófico,ARGISSOLO VERMELHO Eutrófico Típico
11795,Eutrófico,?,?,A Moderado,?,Média,?,Bem drenado,?,?,?,?,?,?,38660,Ap,0,20,Franco-arenosa,Cinzento-esverdeado-claro,7.5YR,4,4,?,?,?,?,Moderada,?,?,Pequena,Media,?,Granular,Blocos subangulares,?,Ligeiramente dura,Friável,Ligeiramente plástica,Ligeiramente pegajosa,?,?,?,?,?,?,Plana,Clara,?,?,?,?,?,?,?,?,?,?,?,0,22,978,246,453,699,120,181,0.66,121,2.6,1.51,33,5.3,4.3,1.6,0.6,2.2,0.05,0.27,2.5,1.9,0.1,4.5,56,4,58,47,18,4.1,?,2.1,1.69,4.1,7.7,0.9,6,?,ARGISSOLO,ARGISSOLO VERMELHO,ARGISSOLO VERMELHO Eutrófico,ARGISSOLO VERMELHO Eutrófico Típico
