Codigo.PA,Saturaca.bases.ou.aluminio,Carater.Aluminico.Alitico,Atividade.argila,Horiz.diag.superficial,Horiz.diag.subsuperficial,Grup.classe.textural.superficial,Grup.classe.textural.subsuperficial,Classe.drenagem,Presenca.Concrecoes,Presenca.Contato.Litico,Presenca.Contato.litico.fragmentario,Presenca.Nodulos,Presenca.Petroplintita,Ocorrencia.Plintita,Codigo.Horizonte,Simbolo.Horizonte,Profundidade.Superior,Profundidade.Inferior,Classe.de.Textura,Cor.umida.nome,Cor.umida.Matiz,Cor.umida.Valor,Cor.umida.Croma,Cor.Seca.Nome,Cor.Seca.Matiz,Cor.Seca.Valor,Cor.Seca.Croma,Estrutura.Grau.de.Desenvolvimento.1.Ocorrencia,Estrutura.Grau.de.Desenvolvimento.2.Ocorrencia,Estrutura.Grau.de.Desenvolvimento.3.Ocorrencia,Estrutura.Tamanho.1.Ocorrencia,Estrutura.Tamanho.2.Ocorrencia,Estrutura.Tamanho.3.Ocorrencia,Estrutura.Forma.1.Ocorrencia,Estrutura.Forma.2.Ocorrencia,Estrutura.Forma.3.Ocorrencia,Consistencia.Seca,Consistencia.umida,Consistencia.Molhada.Plasticidade,Consistencia.Molhada.Pegajosidade,Cerosidade.Grau.de.desenvolvimento,Cerosidade.Quantidade,Superficie.de.compressao.desenvolvimento,Superficie.de.compressao.Quantidade,Superficie.de.friccao.Grau.de.desenvolvimento,Superficie.de.friccao.Quantidade,Transicao.horizonte.subjacente.Topografia,Transicao.horizonte.subjacente.Nitidez,Variegado.Nomenclatura,Variegado.Matiz,Variegado.Valor,Variegado.Croma,Mosqueado.Nome,Mosqueado.Quantidade,Mosqueado.Contraste,Mosqueado.Tamanho,Mosqueado.Matiz,Mosqueado.Valor,Mosqueado.Croma,Fracoes.amostra.total.Calhaus,Fracoes.amostra.total.Cascalho,Fracoes.amostra.total.Terra.Fina,Composicao.terrafina.Areia.Grossa,Composicao.terrafina.Areia.Fina,Composicao.terrafina.Areia.Total,Composicao.terrafina.Silte,Composicao.terrafina.Argila,Composicao.terrafina.Relacao.Silte.Argila,Composicao.terrafina.Argila.Dispersa.em.agua,Densidade.Particulas,Densidade.solo,Grau.de.Floculacao,pH.H2O,pH.KCl,Complexo.Sortivo.Calcio,Complexo.Sortivo.Magnesio,Complexo.Sortivo.Ca.Mg,Complexo.Sortivo.Potassio,Complexo.Sortivo.Sodio,Complexo.Sortivo.ValorS,Complexo.Sortivo.Hidrogenio,Complexo.Sortivo.AluminioTrocavel,Complexo.Sortivo.ValorT,Complexo.Sortivo.ValorVDelta.Sat.Bases,Complexo.Sortivo.Sat.Aluminio,Ataque.sulfurico.SiO2,Ataque.sulfurico.Al2O3,Ataque.sulfurico.Fe2O3,Ataque.sulfurico.TiO2,Ataque.sulfurico.MnO,Ataque.sulfurico.SiO2.Al2O3,Ataque.sulfurico.SiO2.R2O3,Ataque.sulfurico.Al2O3.Fe2O3,Carbono.organico,Nitrogenio.total,Saturacao.Sodio,Condutividade.Eletrica,Classificacao.Nivel.1,Classificacao.Nivel.2,Classificacao.Nivel.3,Ocorrencia-1-Nivel4
11634,Eutrófico,?,?,A Chernozêmico,?,Média cascalhenta,Argilosa cascalhenta,Bem drenado,?,?,?,?,?,?,38142,C,100,160,Franco-arenosa,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Ligeiramente dura,Firme,Ligeiramente plástica,Ligeiramente pegajosa,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,60,940,360,170,530,320,150,2.13,20,?,?,87,5.9,5.4,0.9,0.6,1.5,0.18,0.02,1.7,0.7,0,2.4,71,0,129,117,86,7.9,?,1.87,1.28,2.14,1,0.4,< 1,?,ARGISSOLO,ARGISSOLO VERMELHO-AMARELO,ARGISSOLO VERMELHO-AMARELO Eutrófico,?
11634,Eutrófico,?,?,A Chernozêmico,?,Média cascalhenta,Argilosa cascalhenta,Bem drenado,?,?,?,?,?,?,38141,B3,90,100,Franco-argilo-arenosa com cascalho,?,2.5YR,4,6,?,?,?,?,Fraca,?,?,Pequena,?,?,Blocos subangulares,?,?,Ligeiramente dura,Firme,Ligeiramente plástica,Ligeiramente pegajosa,?,?,?,?,?,?,Ondulada,Abrupta,?,?,?,?,?,?,?,?,?,?,?,10,120,870,340,120,460,230,310,0.74,180,?,?,42,6.1,5.5,2.1,0.4,2.5,0.13,0.02,2.6,1.1,0,3.7,70,0,160,150,93,8.3,?,1.81,1.3,2.53,3.7,0.6,< 1,?,ARGISSOLO,ARGISSOLO VERMELHO-AMARELO,ARGISSOLO VERMELHO-AMARELO Eutrófico,?
11634,Eutrófico,?,?,A Chernozêmico,?,Média cascalhenta,Argilosa cascalhenta,Bem drenado,?,?,?,?,?,?,38139,Bt2,55,90,Argila cascalhenta,?,2.5YR,4,5,?,?,?,?,Fraca,?,?,Pequena,?,?,Blocos subangulares,?,?,Ligeiramente dura,Friável,Plástica,Pegajosa,Fraca,Comum,?,?,?,?,Ondulada,Clara,?,?,?,?,?,?,?,?,?,?,?,20,470,510,190,170,360,140,500,0.28,70,?,?,86,5.8,5,2.2,0.2,2.4,0.13,0.02,2.5,2,0,4.5,56,0,188,181,93,10,?,1.77,1.33,3.06,5.5,0.8,< 1,?,ARGISSOLO,ARGISSOLO VERMELHO-AMARELO,ARGISSOLO VERMELHO-AMARELO Eutrófico,?
11634,Eutrófico,?,?,A Chernozêmico,?,Média cascalhenta,Argilosa cascalhenta,Bem drenado,?,?,?,?,?,?,38138,Bt1,30,55,Argilo-arenosa muito cascalhenta,Verde-acinzentado,3.5YR,3.5,4,?,?,?,?,Fraca,?,?,Pequena,?,?,Granular,?,?,Ligeiramente dura,Friável,Plástica,Pegajosa,?,?,?,?,?,?,Plana,Gradual,?,?,?,?,?,?,?,?,?,?,?,70,560,370,280,200,480,170,350,0.49,20,?,?,94,5.5,4.5,3.2,0.2,3.4,0.15,0.02,3.6,2.7,0.1,6.4,56,3,132,117,73,14.7,?,1.92,1.37,2.52,9.7,1.1,< 1,?,ARGISSOLO,ARGISSOLO VERMELHO-AMARELO,ARGISSOLO VERMELHO-AMARELO Eutrófico,?
11634,Eutrófico,?,?,A Chernozêmico,?,Média cascalhenta,Argilosa cascalhenta,Bem drenado,?,?,?,?,?,?,38137,A3,16,30,Franco-argilo-arenosa cascalhenta,Vermelho-escuro-acinzentado,2.5YR,3,2,?,?,?,?,Fraca,?,?,Muito pequena a pequena,?,?,Granular,?,?,Ligeiramente dura,Friável,Ligeiramente plástica,Ligeiramente pegajosa,?,?,?,?,?,?,Plana,Clara,?,?,?,?,?,?,?,?,?,?,?,160,400,440,300,230,530,170,300,0.57,10,?,?,97,5.5,4.5,4.7,0.5,5.2,0.2,0.04,5.4,4.7,0.1,10.2,53,2,112,100,61,14.3,?,1.9,1.37,2.57,16.1,1.7,< 1,?,ARGISSOLO,ARGISSOLO VERMELHO-AMARELO,ARGISSOLO VERMELHO-AMARELO Eutrófico,?
11634,Eutrófico,?,?,A Chernozêmico,?,Média cascalhenta,Argilosa cascalhenta,Bem drenado,?,?,?,?,?,?,38136,A1,0,16,Franco-argilo-arenosa cascalhenta,Verde-acinzentado,5YR,3,2,?,?,?,?,Moderada,?,?,Muito pequena a pequena,?,?,Granular,?,?,Ligeiramente dura,Friável,Ligeiramente plástica,Ligeiramente pegajosa,?,?,?,?,?,?,Plana,Clara,?,?,?,?,?,?,?,?,?,?,?,110,360,530,320,250,570,170,260,0.65,150,?,?,42,5.8,4.9,5.6,1.1,6.7,0.37,0.04,7.1,4.4,0,11.5,62,0,105,93,64,16.5,?,1.92,1.33,2.28,22.1,2.1,< 1,?,ARGISSOLO,ARGISSOLO VERMELHO-AMARELO,ARGISSOLO VERMELHO-AMARELO Eutrófico,?
8410,Eutrófico,?,Tb,A Moderado,?,Média,Argilosa,Moderadamente drenado,?,?,?,?,?,?,25905,IIB22t,85,100,Argila cascalhenta,?,2.5YR,4,8,?,?,?,?,Moderada,?,?,Pequena,?,?,Blocos subangulares,?,?,Muito dura,Firme,Muito plástica,Muito pegajosa,?,?,?,?,?,?,?,?,?,?,?,?,preto-avermelhado,Abundante,Proeminente,Grande,7.5YR,5,6,0,220,780,100,160,260,140,600,0.23,0,?,?,100,4.7,3.7,0.3,1.5,1.8,0.05,0.04,1.9,3.3,2.6,7.8,24,58,252,211,66,4.2,?,2.03,1.69,5.02,4.2,0.5,< 1,?,ARGISSOLO,ARGISSOLO VERMELHO-AMARELO,ARGISSOLO VERMELHO-AMARELO Eutrófico,?
8410,Eutrófico,?,Tb,A Moderado,?,Média,Argilosa,Moderadamente drenado,?,?,?,?,?,?,25904,IIB21t,54,85,Argila cascalhenta,?,2.5YR,4,8,?,?,?,?,Moderada,?,?,Pequena,?,?,Blocos subangulares,?,?,Dura a muito dura,Firme,Muito plástica,Muito pegajosa,?,?,?,?,?,?,Plana,Gradual,?,?,?,?,preto-avermelhado,Abundante,Proeminente,Médio,7.5YR,5,6,10,290,700,120,150,270,140,590,0.24,40,?,?,93,4.7,3.7,0.8,1.1,1.9,0.08,0.03,2,3.7,3,8.7,23,60,249,210,54,4.4,?,2.02,1.73,6.11,5.1,0.5,< 1,?,ARGISSOLO,ARGISSOLO VERMELHO-AMARELO,ARGISSOLO VERMELHO-AMARELO Eutrófico,?
8410,Eutrófico,?,Tb,A Moderado,?,Média,Argilosa,Moderadamente drenado,?,?,?,?,?,?,25903,Leito,38,54,Argilo-arenosa cascalhenta,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Plástica,Pegajosa,?,?,?,?,?,?,Plana,Clara,?,?,?,?,?,?,?,?,?,?,?,150,340,510,190,270,460,160,380,0.42,300,?,?,21,5,4,1.7,1,2.7,0.22,0.03,3,4.2,1.1,8.3,36,27,158,132,32,3.6,?,2.03,1.76,6.48,7.2,0.7,< 1,?,ARGISSOLO,ARGISSOLO VERMELHO-AMARELO,ARGISSOLO VERMELHO-AMARELO Eutrófico,?
8410,Eutrófico,?,Tb,A Moderado,?,Média,Argilosa,Moderadamente drenado,?,?,?,?,?,?,25901,B1t,15,38,Franco-argilo-arenosa com cascalho,Preto-avermelhado,7.5YR,5,6,Cinzento-oliváceo-escuro,10YR,5,6,Fraca,?,?,Pequena a media,?,?,Blocos subangulares,?,?,Ligeiramente dura,Friável,Plástica,Pegajosa,?,?,?,?,?,?,Plana,Clara,?,?,?,?,?,?,?,?,?,?,?,0,110,890,230,330,560,150,290,0.52,200,?,?,31,5.8,4.5,2.2,1.1,3.3,0.32,0.02,3.6,3.4,0.2,7.2,50,5,123,98,24,3,?,2.13,1.85,6.41,7.9,0.7,< 1,?,ARGISSOLO,ARGISSOLO VERMELHO-AMARELO,ARGISSOLO VERMELHO-AMARELO Eutrófico,?
