Codigo.PA,Saturaca.bases.ou.aluminio,Carater.Aluminico.Alitico,Atividade.argila,Horiz.diag.superficial,Horiz.diag.subsuperficial,Grup.classe.textural.superficial,Grup.classe.textural.subsuperficial,Classe.drenagem,Presenca.Concrecoes,Presenca.Contato.Litico,Presenca.Contato.litico.fragmentario,Presenca.Nodulos,Presenca.Petroplintita,Ocorrencia.Plintita,Codigo.Horizonte,Simbolo.Horizonte,Profundidade.Superior,Profundidade.Inferior,Classe.de.Textura,Cor.umida.nome,Cor.umida.Matiz,Cor.umida.Valor,Cor.umida.Croma,Cor.Seca.Nome,Cor.Seca.Matiz,Cor.Seca.Valor,Cor.Seca.Croma,Estrutura.Grau.de.Desenvolvimento.1.Ocorrencia,Estrutura.Grau.de.Desenvolvimento.2.Ocorrencia,Estrutura.Grau.de.Desenvolvimento.3.Ocorrencia,Estrutura.Tamanho.1.Ocorrencia,Estrutura.Tamanho.2.Ocorrencia,Estrutura.Tamanho.3.Ocorrencia,Estrutura.Forma.1.Ocorrencia,Estrutura.Forma.2.Ocorrencia,Estrutura.Forma.3.Ocorrencia,Consistencia.Seca,Consistencia.umida,Consistencia.Molhada.Plasticidade,Consistencia.Molhada.Pegajosidade,Cerosidade.Grau.de.desenvolvimento,Cerosidade.Quantidade,Superficie.de.compressao.desenvolvimento,Superficie.de.compressao.Quantidade,Superficie.de.friccao.Grau.de.desenvolvimento,Superficie.de.friccao.Quantidade,Transicao.horizonte.subjacente.Topografia,Transicao.horizonte.subjacente.Nitidez,Variegado.Nomenclatura,Variegado.Matiz,Variegado.Valor,Variegado.Croma,Mosqueado.Nome,Mosqueado.Quantidade,Mosqueado.Contraste,Mosqueado.Tamanho,Mosqueado.Matiz,Mosqueado.Valor,Mosqueado.Croma,Fracoes.amostra.total.Calhaus,Fracoes.amostra.total.Cascalho,Fracoes.amostra.total.Terra.Fina,Composicao.terrafina.Areia.Grossa,Composicao.terrafina.Areia.Fina,Composicao.terrafina.Areia.Total,Composicao.terrafina.Silte,Composicao.terrafina.Argila,Composicao.terrafina.Relacao.Silte.Argila,Composicao.terrafina.Argila.Dispersa.em.agua,Densidade.Particulas,Densidade.solo,Grau.de.Floculacao,pH.H2O,pH.KCl,Complexo.Sortivo.Calcio,Complexo.Sortivo.Magnesio,Complexo.Sortivo.Ca.Mg,Complexo.Sortivo.Potassio,Complexo.Sortivo.Sodio,Complexo.Sortivo.ValorS,Complexo.Sortivo.Hidrogenio,Complexo.Sortivo.AluminioTrocavel,Complexo.Sortivo.ValorT,Complexo.Sortivo.ValorVDelta.Sat.Bases,Complexo.Sortivo.Sat.Aluminio,Ataque.sulfurico.SiO2,Ataque.sulfurico.Al2O3,Ataque.sulfurico.Fe2O3,Ataque.sulfurico.TiO2,Ataque.sulfurico.MnO,Ataque.sulfurico.SiO2.Al2O3,Ataque.sulfurico.SiO2.R2O3,Ataque.sulfurico.Al2O3.Fe2O3,Carbono.organico,Nitrogenio.total,Saturacao.Sodio,Condutividade.Eletrica,Classificacao.Nivel.1,Classificacao.Nivel.2,Classificacao.Nivel.3,Ocorrencia-1-Nivel4
8089,?,?,?,?,?,?,?,Mal drenado,?,?,?,?,?,?,24680,3ªCamada,60,90,Argila,Cinzento-esverdeado-claro,7.5YR,5,5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Plástica,Muito pegajosa,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,0,1000,30,110,140,270,590,0.46,?,2.74,1.14,59,5.7,5.2,3.12,2,5.12,0.06,0.15,5.3,?,?,10.83,49,?,284.3,275,274.5,19,?,1.76,1.07,1.57,9.9,0.9,1,?,LUVISSOLO,?,?,?
8089,?,?,?,?,?,?,?,Mal drenado,?,?,?,?,?,?,24679,2ªCamada,20,60,Argila,Cinzento-oliváceo-claro,10YR,4,4,?,?,?,?,Fraca,?,?,Muito pequena a pequena,Pequena a media,?,Blocos subangulares,?,?,?,Muito firme,Plástica,Pegajosa,?,?,?,?,?,?,?,?,?,?,?,?,cinzento-esverdeado-claro,Comum,Distinto,Pequeno,7.5YR,5,5,0,0,1000,110,20,130,200,670,0.3,?,2.66,1.09,68,5.5,4.7,2.75,1.42,4.17,0.06,0.16,4.4,?,?,12.72,35,?,290.9,299.2,129.3,11.1,?,1.65,1.3,3.63,16.7,1.5,1,?,LUVISSOLO,?,?,?
8089,?,?,?,?,?,?,?,Mal drenado,?,?,?,?,?,?,24677,A1,0,20,Argila,Cinzento muito escuro,10YR,3,2,?,?,?,?,Moderada,?,?,Muito pequena a pequena,Pequena a media,?,Granular,?,?,Ligeiramente dura,Firme,Plástica,Muito pegajosa,?,?,?,?,?,?,Plana,Difusa,?,?,?,?,?,?,?,?,?,?,?,0,0,1000,70,10,80,240,680,0.35,?,2.3,0.9,87,5.1,4.2,0.6,0.24,0.84,0.13,0.06,1,?,?,17.1,6,?,283.6,256.1,68.6,8.6,?,1.88,1.61,5.86,63.5,6.5,< 1,?,LUVISSOLO,?,?,?
13404,Álico,?,Tb,A Fraco,?,?,Média,Moderadamente drenado,?,?,?,?,?,?,45277,C,55,110,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,CAMBISSOLO,?,?,?
13404,Álico,?,Tb,A Fraco,?,?,Média,Moderadamente drenado,?,?,?,?,?,?,45276,(B3t),36,55,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,CAMBISSOLO,?,?,?
13404,Álico,?,Tb,A Fraco,?,?,Média,Moderadamente drenado,?,?,?,?,?,?,45275,(B2t),16,36,Franco-argilo-arenosa,Preto-avermelhado,7.5YR,5,8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,10,990,350,240,590,90,320,?,70,?,?,78,4.7,4.1,?,?,0.3,0.04,0.01,0.3,?,0.8,?,?,73,133,117,19,2.8,?,1.93,1.75,9.67,3.3,?,?,?,CAMBISSOLO,?,?,?
13404,Álico,?,Tb,A Fraco,?,?,Média,Moderadamente drenado,?,?,?,?,?,?,45274,A,0,16,Franco-argilo-arenosa,Cinzento-esverdeado-claro,10YR,5,3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,120,240,640,450,240,690,80,230,0.35,180,?,?,22,4.7,4.1,?,?,0.3,0.05,0.01,0.4,?,0.7,?,?,64,100,89,29,2.2,?,1.91,1.58,4.82,4.8,?,?,?,CAMBISSOLO,?,?,?
12074,Eutrófico,?,Tb,A Moderado,?,?,?,Acentuadamente drenado,?,?,?,?,?,?,39770,B2t,40,70,Franco-argilo-arenosa,Preto-avermelhado,7.5YR,5,6,Rosado,7.5YR,6,6,Fraca,?,?,Pequena a media,?,?,Blocos subangulares,?,?,Dura,Friável,Plástica,Pegajosa,Fraca,Comum,?,?,?,?,Plana,Difusa,?,?,?,?,?,?,?,?,?,?,?,0,0,1000,380,170,550,180,270,0.67,10,?,?,96,5.3,4,2,0.8,2.8,0.04,0.04,2.9,1.5,0.3,4.7,62,9,107,89,23,3.1,?,2.04,1.75,6.08,2.2,0.6,< 1,?,ARGISSOLO,?,?,?
12074,Eutrófico,?,Tb,A Moderado,?,?,?,Acentuadamente drenado,?,?,?,?,?,?,39769,B1t,15,40,Franco-argilo-arenosa,Preto-avermelhado,7.5YR,5,6,Rosado,7.5YR,6,6,Fraca,?,?,Pequena a media,?,?,Blocos subangulares,?,?,Dura,Friável,Plástica,Pegajosa,Fraca,Comum,?,?,?,?,Plana,Difusa,?,?,?,?,?,?,?,?,?,?,?,0,0,1000,400,210,610,170,220,0.77,180,?,?,18,5.1,3.9,1.7,0.6,2.3,0.08,0.04,2.4,2.2,0.5,5.1,47,17,83,70,18,2.8,?,2.02,1.73,6.11,5.5,0.8,< 1,?,ARGISSOLO,?,?,?
12074,Eutrófico,?,Tb,A Moderado,?,?,?,Acentuadamente drenado,?,?,?,?,?,?,39768,A,0,15,Franco-arenosa,Cinzento-oliváceo-claro,10YR,4,4,Cinzento-oliváceo-escuro,10YR,5,4,Fraca,?,?,Pequena a media,?,?,Blocos subangulares,?,?,Ligeiramente dura,Friável,Ligeiramente plástica,Ligeiramente pegajosa,?,?,?,?,?,?,Plana,Clara,?,?,?,?,?,?,?,?,?,?,?,0,0,1000,440,270,710,150,140,1.07,90,?,?,36,5.4,4.4,2.2,0.6,2.8,0.16,0.04,3,3.2,0.1,6.3,48,3,56,45,12,1.9,?,2.12,1.81,5.89,9.9,1.3,< 1,?,ARGISSOLO,?,?,?
12313,Eutrófico,?,?,?,?,?,?,Bem drenado,?,?,?,?,?,?,40690,H4,60,100,Argila,Vermelho-claro,5YR,5,8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,50,260,310,130,560,0.23,0,?,?,100,4.3,3.5,0.05,0.29,0.34,0.03,0.05,0.4,2.2,1.3,3.9,10,76,228.2,227.6,75,?,?,1.7,1.41,4.76,2.5,0.5,1,?,ARGISSOLO,?,?,?
12313,Eutrófico,?,?,?,?,?,?,Bem drenado,?,?,?,?,?,?,40688,H3,40,60,Argila,Preto-avermelhado,7.5YR,5,6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,280,340,140,520,0.27,0,?,?,100,3.9,3.4,0.06,0.11,0.17,0.04,0.05,0.3,2.16,1.95,4.41,7,87,215,212.4,68.7,?,?,1.72,1.43,4.85,2.8,4.8,1,?,ARGISSOLO,?,?,?
12313,Eutrófico,?,?,?,?,?,?,Bem drenado,?,?,?,?,?,?,40687,H2,20,40,Argila,Rosado,7.5YR,6,6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,320,380,170,450,0.38,0,?,?,100,3.5,3.3,0.1,0.14,0.24,0.04,0.06,0.3,2.16,1.95,4.41,7,87,200,186,56.2,?,?,1.83,1.53,5.2,5.7,0.8,1,?,ARGISSOLO,?,?,?
12313,Eutrófico,?,?,?,?,?,?,Bem drenado,?,?,?,?,?,?,40686,H1,0,20,Franco-argilo-arenosa,Preto-avermelhado,7.5YR,5,6,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60,500,560,140,300,0.47,250,?,?,17,3.3,3.1,0.21,0.19,0.4,0.05,0.08,0.5,4.07,2.09,6.66,8,81,154.7,111.8,49.6,?,?,2.35,1.83,3.54,9,0.9,1,?,ARGISSOLO,?,?,?
13122,Eutrófico,?,Ta,A Moderado,?,Argilosa,?,Mal drenado,?,?,?,?,?,?,44288,6Cgzn4,100,175,Franco-argilo-arenosa,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,Plástica,Pegajosa,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,10,990,170,420,590,120,290,0.41,260,?,?,10,7.9,7.2,3.8,5.5,9.3,0.07,1.21,10.6,?,0,?,?,0,118,62,32,3.7,?,3.24,2.43,3.04,0.4,0.3,?,?,ARGISSOLO,?,?,?
