Codigo.PA,Saturaca.bases.ou.aluminio,Carater.Aluminico.Alitico,Atividade.argila,Horiz.diag.superficial,Horiz.diag.subsuperficial,Grup.classe.textural.superficial,Grup.classe.textural.subsuperficial,Classe.drenagem,Presenca.Concrecoes,Presenca.Contato.Litico,Presenca.Contato.litico.fragmentario,Presenca.Nodulos,Presenca.Petroplintita,Ocorrencia.Plintita,Codigo.Horizonte,Simbolo.Horizonte,Profundidade.Superior,Profundidade.Inferior,Classe.de.Textura,Cor.umida.nome,Cor.umida.Matiz,Cor.umida.Valor,Cor.umida.Croma,Cor.Seca.Nome,Cor.Seca.Matiz,Cor.Seca.Valor,Cor.Seca.Croma,Estrutura.Grau.de.Desenvolvimento.1.Ocorrencia,Estrutura.Grau.de.Desenvolvimento.2.Ocorrencia,Estrutura.Grau.de.Desenvolvimento.3.Ocorrencia,Estrutura.Tamanho.1.Ocorrencia,Estrutura.Tamanho.2.Ocorrencia,Estrutura.Tamanho.3.Ocorrencia,Estrutura.Forma.1.Ocorrencia,Estrutura.Forma.2.Ocorrencia,Estrutura.Forma.3.Ocorrencia,Consistencia.Seca,Consistencia.umida,Consistencia.Molhada.Plasticidade,Consistencia.Molhada.Pegajosidade,Cerosidade.Grau.de.desenvolvimento,Cerosidade.Quantidade,Superficie.de.compressao.desenvolvimento,Superficie.de.compressao.Quantidade,Superficie.de.friccao.Grau.de.desenvolvimento,Superficie.de.friccao.Quantidade,Transicao.horizonte.subjacente.Topografia,Transicao.horizonte.subjacente.Nitidez,Variegado.Nomenclatura,Variegado.Matiz,Variegado.Valor,Variegado.Croma,Mosqueado.Nome,Mosqueado.Quantidade,Mosqueado.Contraste,Mosqueado.Tamanho,Mosqueado.Matiz,Mosqueado.Valor,Mosqueado.Croma,Fracoes.amostra.total.Calhaus,Fracoes.amostra.total.Cascalho,Fracoes.amostra.total.Terra.Fina,Composicao.terrafina.Areia.Grossa,Composicao.terrafina.Areia.Fina,Composicao.terrafina.Areia.Total,Composicao.terrafina.Silte,Composicao.terrafina.Argila,Composicao.terrafina.Relacao.Silte.Argila,Composicao.terrafina.Argila.Dispersa.em.agua,Densidade.Particulas,Densidade.solo,Grau.de.Floculacao,pH.H2O,pH.KCl,Complexo.Sortivo.Calcio,Complexo.Sortivo.Magnesio,Complexo.Sortivo.Ca.Mg,Complexo.Sortivo.Potassio,Complexo.Sortivo.Sodio,Complexo.Sortivo.ValorS,Complexo.Sortivo.Hidrogenio,Complexo.Sortivo.AluminioTrocavel,Complexo.Sortivo.ValorT,Complexo.Sortivo.ValorVDelta.Sat.Bases,Complexo.Sortivo.Sat.Aluminio,Ataque.sulfurico.SiO2,Ataque.sulfurico.Al2O3,Ataque.sulfurico.Fe2O3,Ataque.sulfurico.TiO2,Ataque.sulfurico.MnO,Ataque.sulfurico.SiO2.Al2O3,Ataque.sulfurico.SiO2.R2O3,Ataque.sulfurico.Al2O3.Fe2O3,Carbono.organico,Nitrogenio.total,Saturacao.Sodio,Condutividade.Eletrica,Classificacao.Nivel.1,Classificacao.Nivel.2,Classificacao.Nivel.3,Ocorrencia-1-Nivel4
6174,Distrófico,?,?,A Moderado,?,Média,?,Acentuadamente drenado,?,?,?,?,?,?,17384,B23,115,200,Franco-arenosa,Vermelho,2.5YR,5,8,?,?,?,?,?,Fraca,?,?,Muito pequena,?,Maciça porosa que se desfaz,Granular,Grãos simples,Dura,Muito friável,Plástica,Ligeiramente pegajosa,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,?,1000,490,290,780,40,180,0.22,0,?,?,100,4.8,4.4,?,?,0.3,0.01,0.02,0.3,0.6,0.2,1.1,27,40,76,60,23,3.8,?,2.15,1.73,4.08,2,0.4,1,?,LATOSSOLO,LATOSSOLO VERMELHO-AMARELO,?,?
6174,Distrófico,?,?,A Moderado,?,Média,?,Acentuadamente drenado,?,?,?,?,?,?,17383,B22,70,115,Franco-arenosa,Vermelho,2.5YR,4,6,?,?,?,?,?,Fraca,?,?,Muito pequena,?,Maciça porosa que se desfaz,Granular,Grãos simples,Dura,Muito friável,Plástica,Ligeiramente pegajosa,?,?,?,?,?,?,Plana,Difusa,?,?,?,?,?,?,?,?,?,?,?,0,?,1000,480,280,760,60,180,0.33,40,?,1.46,78,5.2,4,?,?,0.3,0.01,0.01,0.3,0.5,0.2,1,30,40,80,63,23,3.8,?,2.15,1.73,4.08,2.2,0.4,1,?,LATOSSOLO,LATOSSOLO VERMELHO-AMARELO,?,?
6174,Distrófico,?,?,A Moderado,?,Média,?,Acentuadamente drenado,?,?,?,?,?,?,17382,B21,45,70,Franco-arenosa,Bruno-avermelhado,2.5YR,4,5,?,?,?,?,?,Fraca,?,?,Muito pequena,?,Maciça porosa que se desfaz,Granular,Grãos simples,Ligeiramente dura,Muito friável,Plástica,Ligeiramente pegajosa,?,?,?,?,?,?,Plana,Difusa,?,?,?,?,?,?,?,?,?,?,?,0,?,1000,480,290,770,60,170,0.35,160,?,1.46,6,4.8,4.2,?,?,0.9,0.01,0.01,0.9,0.8,0.4,2.1,43,31,73,57,23,3.2,?,2.18,1.73,3.88,3,0.5,<1,?,LATOSSOLO,LATOSSOLO VERMELHO-AMARELO,?,?
6174,Distrófico,?,?,A Moderado,?,Média,?,Acentuadamente drenado,?,?,?,?,?,?,17381,B1,25,45,Franco-arenosa,Bruno-avermelhado,5YR,4,4,?,?,?,?,?,Fraca,?,?,Muito pequena,?,Maciça porosa que se desfaz,Granular,Grãos simples,Ligeiramente dura,Muito friável,Ligeiramente plástica,Ligeiramente pegajosa,?,?,?,?,?,?,Plana,Difusa,?,?,?,?,?,?,?,?,?,?,?,0,?,1000,490,330,820,40,140,0.29,120,?,1.47,14,5.4,4.2,?,?,0.9,0.03,0.01,0.9,0.5,0.6,2,45,40,57,42,18,2.6,?,2.31,1.81,3.65,3.6,0.5,<1,?,LATOSSOLO,LATOSSOLO VERMELHO-AMARELO,?,?
6174,Distrófico,?,?,A Moderado,?,Média,?,Acentuadamente drenado,?,?,?,?,?,?,17380,A3,10,25,Areia-franca,Bruno-avermelhado,5YR,4,3,?,?,?,?,Fraca,?,?,Pequena a media,?,?,Granular,Grãos simples,?,Macia,Muito friável,Ligeiramente plástica,Ligeiramente pegajosa,?,?,?,?,?,?,Plana,Gradual,?,?,?,?,?,?,?,?,?,?,?,0,?,1000,530,320,850,50,100,0.5,80,?,1.49,20,5.4,4.1,?,?,0.9,0.05,0.01,1,0.8,0.8,2.6,38,44,27,36,16,2.6,?,1.27,0.99,3.53,3.8,0.5,<1,?,LATOSSOLO,LATOSSOLO VERMELHO-AMARELO,?,?
6174,Distrófico,?,?,A Moderado,?,Média,?,Acentuadamente drenado,?,?,?,?,?,?,17379,A1,0,10,Areia-franca,Bruno-acinzentado muito escuro,10YR,3.5,2,?,?,?,?,Moderada,?,?,Muito pequena a pequena,Pequena a media,?,Granular,Grãos simples,?,Macia,Muito friável,Ligeiramente plástica,Não pegajosa,?,?,?,?,?,?,Plana,Gradual,?,?,?,?,?,?,?,?,?,?,?,0,?,1000,530,320,850,60,90,0.67,40,?,1.46,56,5.1,4.3,1.9,0.3,?,0.06,0.01,2.3,1.8,0.6,4.7,49,21,40,30,12,1.2,?,2.27,1.81,3.92,8.6,10,<1,?,LATOSSOLO,LATOSSOLO VERMELHO-AMARELO,?,?
11058,Álico,?,?,A Moderado,?,Média,Argilosa,Bem drenado,?,?,?,?,?,?,36688,C,65,100,Franco-argilo-siltosa,?,?,?,?,?,?,?,?,Moderada a forte,?,?,Media,?,?,Blocos angulares,?,?,?,Firme a muito firme,Plástica a muito plástica,Pegajosa a muito pegajosa,?,?,?,?,?,?,?,?,Bruno-escuro:Rosado,5YR:5YR,07:06,01:08,?,?,?,?,?,?,?,0,50,950,110,40,150,510,340,1.5,320,?,?,6,4.8,3.8,?,?,0.4,0.18,0.25,0.8,0.8,0.4,2,40,33,176,124,53,2.4,?,2.41,1.9,3.67,1.8,0.6,13,?,ARGISSOLO,ARGISSOLO VERMELHO-AMARELO,?,?
11058,Álico,?,?,A Moderado,?,Média,Argilosa,Bem drenado,?,?,?,?,?,?,36687,B3t,12,65,Argilo-siltosa,?,?,?,?,?,?,?,?,Fraca,?,?,Media,?,?,Blocos subangulares,?,?,Dura,Firme,Plástica a muito plástica,Pegajosa,Fraca,Pouca,?,?,?,?,Plana,Clara,Vermelho-claro:Cinzento-rosado,5YR:10YR,05:06,08:06,?,?,?,?,?,?,?,0,0,1000,10,10,20,570,410,1.39,380,?,?,7,5.1,3.7,0.5,1.4,1.9,0.2,0.41,2.5,0.9,1.7,5.1,49,40,199,159,34,3.1,?,2.13,1.87,7.34,2,0.8,8,?,ARGISSOLO,ARGISSOLO VERMELHO-AMARELO,?,?
11058,Álico,?,?,A Moderado,?,Média,Argilosa,Bem drenado,?,?,?,?,?,?,36686,B2t,25,42,Franco-argilo-siltosa,?,?,?,?,?,?,?,?,Moderada,?,?,Media a grande,?,?,Blocos subangulares,?,?,Ligeiramente dura,Firme a friável,Plástica,Pegajosa,Fraca,Pouca,?,?,?,?,Plana,Gradual,Vermelho-claro:Cinzento-rosado,5YR:10YR,05:06,08:06,?,?,?,?,?,?,?,0,0,1000,130,20,150,460,390,1.18,380,?,?,3,4,3.6,?,?,0.2,0.08,0.06,0.3,1.2,2.8,4.3,7,90,193,154,43,3.7,?,2.13,1.81,5.62,3.3,0.8,1,?,ARGISSOLO,ARGISSOLO VERMELHO-AMARELO,?,?
11058,Álico,?,?,A Moderado,?,Média,Argilosa,Bem drenado,?,?,?,?,?,?,36685,A3,8,25,Franco-argilosa,Cinzento-oliváceo-claro,10YR,4,4,Cinzento-oliváceo-escuro,10YR,5,6,Fraca,?,?,Pequena a media,?,?,Blocos subangulares,?,?,Ligeiramente dura,Firme a friável,Plástica,Pegajosa,?,?,?,?,?,?,Plana,Gradual,?,?,?,?,?,?,?,?,?,?,?,0,10,990,260,80,340,370,290,1.28,270,?,?,7,4,3.6,?,?,0.3,0.1,0.04,0.4,2.4,2.3,5.1,8,85,137,102,54,3.6,?,2.28,1.71,2.97,6.9,1,< 1,?,ARGISSOLO,ARGISSOLO VERMELHO-AMARELO,?,?
