Arquivo,solo,conceitos,cultura,culturaClasse1,animal,tecnologia,tecnologiaClasse,regiao,uf
A_2168.2009061500000.txt,?,'agricultura familiar',babosa,'plantas medicinais e aromaticas',ovino,safs,'sistemas de producao',SE,MG
A_2168.2009061500000.txt,?,'agricultura familiar',babosa,'plantas medicinais e aromaticas',ovino,safs,'sistemas de producao',SE,MG
A_2168.2009061500000.txt,?,trabalho,babosa,'plantas medicinais e aromaticas',ovino,manejo,solo,SE,MG
A_2168.2009061500000.txt,?,trabalho,babosa,'plantas medicinais e aromaticas',ovino,safs,'sistemas de producao',SE,MG
A_2168.2009061500000.txt,?,trabalho,babosa,'plantas medicinais e aromaticas',ovino,safs,'sistemas de producao',SE,MG
A_6101.2011061500000.txt,?,ciencia,?,?,?,?,?,SE,SP
A_6101.2011061500000.txt,?,trabalho,?,?,?,?,?,SE,SP
A_4507.2015061500000.txt,?,trabalho,mandioca,'culturas agricolas',?,'manejo de semente',solo,SE,MG
A_4507.2015061500000.txt,?,trabalho,mandioca,'culturas agricolas',?,manejo,solo,SE,MG
A_4507.2015061500000.txt,?,trabalho,mandioca,'culturas agricolas',?,agroecossistema,'sistemas de producao',SE,MG
A_4507.2015061500000.txt,?,trabalho,mandioca,'culturas agricolas',?,agroecossistema,'sistemas de producao',SE,MG
A_4507.2015061500000.txt,?,trabalho,mandioca,'culturas agricolas',?,agroecossistema,ecologia,SE,MG
A_4507.2015061500000.txt,?,'comunidades tradicionais',mandioca,'culturas agricolas',?,'manejo de semente',solo,SE,MG
A_4507.2015061500000.txt,?,'comunidades tradicionais',mandioca,'culturas agricolas',?,manejo,solo,SE,MG
A_4507.2015061500000.txt,?,'comunidades tradicionais',mandioca,'culturas agricolas',?,agroecossistema,'sistemas de producao',SE,MG
A_4507.2015061500000.txt,?,'comunidades tradicionais',mandioca,'culturas agricolas',?,agroecossistema,'sistemas de producao',SE,MG
A_5260.2006061500000.txt,?,trabalho,?,?,?,?,?,SE,MG
A_5260.2006061500000.txt,?,trabalho,?,?,?,?,?,SE,SP
A_1959.2010061500000.txt,?,'agricultura familiar',arroz,'culturas agricolas',?,manejo,solo,SE,MG
A_1959.2010061500000.txt,?,'agricultura familiar',milho,'culturas agricolas',?,manejo,solo,SE,MG
A_1959.2010061500000.txt,?,'agricultura familiar',feijao,'culturas agricolas',?,manejo,solo,SE,MG
A_1959.2010061500000.txt,?,'agricultura familiar',sorgo,'culturas agricolas',?,manejo,solo,SE,MG
A_1959.2010061500000.txt,?,ciencia,mandioca,'culturas agricolas',?,manejo,solo,SE,MG
A_1959.2010061500000.txt,?,ciencia,arroz,'culturas agricolas',?,manejo,solo,SE,MG
A_1959.2010061500000.txt,?,ciencia,milho,'culturas agricolas',?,manejo,solo,SE,MG
A_1959.2010061500000.txt,?,ciencia,feijao,'culturas agricolas',?,manejo,solo,SE,MG
A_1959.2010061500000.txt,?,ciencia,sorgo,'culturas agricolas',?,manejo,solo,SE,MG
A_1959.2010061500000.txt,?,'comunidades rurais',mandioca,'culturas agricolas',?,manejo,solo,SE,MG
A_1959.2010061500000.txt,?,'comunidades rurais',arroz,'culturas agricolas',?,manejo,solo,SE,MG
A_1959.2010061500000.txt,?,'comunidades rurais',milho,'culturas agricolas',?,manejo,solo,SE,MG
A_1959.2010061500000.txt,?,'comunidades rurais',feijao,'culturas agricolas',?,manejo,solo,SE,MG
A_1959.2010061500000.txt,?,'comunidades rurais',sorgo,'culturas agricolas',?,manejo,solo,SE,MG
A_1959.2010061500000.txt,?,trabalho,mandioca,'culturas agricolas',?,manejo,solo,SE,MG
